No.,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21
13.0,105.9886611678432,198.04424042321864,3.968321359981436,5.293941149861759,0.12284473998882038,6.465590240581482,0.20229211987747753,0.0006025971966915251,2.030820005630116,0.6799868786516192,0.0005531406338322216,5.819089066277547e-05,1.9523289521696723,0.001402818231361366,0.00010145590264032248,0.0008836957238017015,78.79758756852658,4779.805158661618,509.4040654814189,635.0819371124295,6897.880677911829
14.0,105.24308610150308,196.4015306606259,3.9383665724197567,5.258119394499164,0.12520829055964858,6.302367214599676,0.2052979307067482,0.0005469391357782969,2.033945346996948,0.678714114196799,0.0005683563500195716,5.9706270959522235e-05,1.981678423480912,0.001361114399990974,9.902888982919251e-05,0.0008064933530481099,79.44097745643538,4805.017653451982,488.7272900136799,627.624228081658,6888.117903863435
15.0,104.66982676252825,192.54196296177943,3.922948622734566,5.171589849636653,0.11796580237793816,6.324884916589467,0.20839447704029007,0.0005743715294127725,2.037356078054013,0.6825527803316614,0.0005617440315492618,5.9775343627465976e-05,2.0063568120238804,0.0013724967038220002,0.00010112858479202734,0.0008341199483068147,80.55020488096432,4890.420237818692,516.8945081910574,624.4925668068062,6751.74037556211
16.0,103.98985171908556,194.51863032822,3.9404647313468666,5.087532048504025,0.11418947526221158,6.140299087933449,0.20805833360204068,0.0005889159607274701,2.028375474576493,0.6803051358023028,0.0005853932470218328,5.79619951024504e-05,2.033236774710368,0.0013378766317630306,0.00010000326783767344,0.0009229488021745612,81.05660959546366,4913.875832247151,539.7786931432985,631.4359684109065,6531.4305612431435
17.0,105.23458895898813,195.84504682577102,3.946930224075097,5.06879492276777,0.10500016645657878,6.18817192045652,0.21247954551086515,0.0004968123648941393,2.00345823910489,0.6724788866972349,0.0005686934626814497,5.9115349962160765e-05,2.0095409254533285,0.0013622587877053587,0.00010048437668353793,0.0009375677230007421,81.74114173145956,4860.047994747748,531.5511365725449,626.1767745499868,6383.978868795944
18.0,106.19782201941247,195.86740232376954,3.9627265925362556,5.135837213362571,0.10780676265185972,6.334565197401809,0.21486433130730626,0.0005958324396070113,2.0237792877992162,0.6755537806455314,0.0005505678328967453,5.914283423785014e-05,1.9946136353948136,0.0013882409736793425,0.00010103134483068187,0.0010261787626503977,80.70266350734936,4803.99719773606,544.9101340853522,625.1787335596873,6485.122113627321
19.0,106.76026457062193,194.21057742383206,3.963215382053794,5.056338219160638,0.11591829109852958,6.519188135813996,0.2189339630571807,0.0006743872596093394,2.037816111911301,0.6713427644461545,0.0005397852296992007,5.87028124023893e-05,1.98795851331803,0.001399880387385744,9.886151946027583e-05,0.000928332696072026,80.73064396971532,4799.964556851022,538.4991417628574,632.7020461820151,6710.558752555831
20.0,105.61195743953365,196.69873343669414,4.002194357930776,5.15464884970749,0.11547689200443143,6.370809941036412,0.21990691310311442,0.0006317053393711927,2.048644609182449,0.6650936781809925,0.0005606124573542771,6.091458948012978e-05,1.9706701086261145,0.0013635750505065418,9.829624866630655e-05,0.0009504296286625405,79.94414706659944,4753.282143975126,562.6083952263958,635.936472687855,6608.4424520317825
21.0,106.03708650597582,199.5070079549409,3.972161163505918,5.08951763045058,0.10848626234215389,6.380219560743501,0.21878695040264262,0.0006885860331652223,2.069825820085429,0.6612262402086322,0.0005683898361913633,6.008612439182426e-05,1.9925576903084792,0.0013684977039092074,9.594404043044506e-05,0.0009978272632257252,79.69176367602584,4615.213575584485,576.700347887468,636.4426560083394,6370.161706130746
22.0,106.5379158832735,200.34441583655595,3.978942189407235,5.165244716628457,0.10029380131168251,6.505368527471911,0.2188739095883282,0.0007551472513072011,2.0908754617813905,0.6571729318711306,0.000590078528066832,5.970291511515739e-05,1.9925537782803606,0.0014003088218813352,9.486518002945108e-05,0.0010485692488802572,78.46802056432313,4633.377754055402,604.9873601362217,627.6935416861697,6532.622777984203
